words	utt_url	utt	system	prom
leg, shore	https://youtu.be/LZyIgCOeLLU	The leg shut the shore today.	promark	1
post, ring	https://youtu.be/LZyIgCOeLLU	The post bit the ring today.	promark	1
box, tree	http:/some.edu	The box paid the tree today.	promark	1
boat, sun	http:/some.edu	The boat tried the sun today.	promark	1
cow, sea	http:/some.edu	The cow laid the sea today.	promark	1
knee, rose	http:/some.edu	The knee set the rose today.	promark	1
year, bank	http:/some.edu	The year ran the bank today.	promark	1
street, top	http:/some.edu	The street said the top today.	promark	1
house, hair	http:/some.edu	The house hurt the hair today.	promark	1
rain, drive	http:/some.edu	The rain sang the drive today.	promark	1
wave, net	http:/some.edu	The wave beat the net today.	promark	1
car, wood	http:/some.edu	The car knew the wood today.	promark	1
work, bird	http:/some.edu	The work burned the bird today.	promark	1
sea, bag	http:/some.edu	The sea led the bag today.	promark	1
bill, branch	http:/some.edu	The bill left the branch today.	promark	1
shop, ball	http:/some.edu	The shop cost the ball today.	promark	1
wing, shout	http:/some.edu	The wing met the shout today.	promark	1
feet, blow	http:/some.edu	The feet burned the blow today.	promark	1
face, judge	http:/some.edu	The face put the judge today.	promark	1
child, plant	http:/some.edu	The child let the plant today.	promark	1
leg, shore	https://youtu.be/LZyIgCOeLLU	The leg shut the shore today.	promark	2
post, ring	https://youtu.be/LZyIgCOeLLU	The post bit the ring today.	promark	2
box, tree	http:/some.edu	The box paid the tree today.	promark	2
boat, sun	http:/some.edu	The boat tried the sun today.	promark	2
cow, sea	http:/some.edu	The cow laid the sea today.	promark	2
knee, rose	http:/some.edu	The knee set the rose today.	promark	2
year, bank	http:/some.edu	The year ran the bank today.	promark	2
street, top	http:/some.edu	The street said the top today.	promark	2
house, hair	http:/some.edu	The house hurt the hair today.	promark	2
rain, drive	http:/some.edu	The rain sang the drive today.	promark	2
wave, net	http:/some.edu	The wave beat the net today.	promark	2
car, wood	http:/some.edu	The car knew the wood today.	promark	2
work, bird	http:/some.edu	The work burned the bird today.	promark	2
sea, bag	http:/some.edu	The sea led the bag today.	promark	2
bill, branch	http:/some.edu	The bill left the branch today.	promark	2
shop, ball	http:/some.edu	The shop cost the ball today.	promark	2
wing, shout	http:/some.edu	The wing met the shout today.	promark	2
feet, blow	http:/some.edu	The feet burned the blow today.	promark	2
face, judge	http:/some.edu	The face put the judge today.	promark	2
child, plant	http:/some.edu	The child let the plant today.	promark	2
